Station_name,Station_id,Request Datetime,id,status,price,free
Ackerstraße 131,zn686k,2023-07-17 11:52:12.972792+02:00,DESWDE000012101,3,,
Ackerstraße 131,zn686k,2023-07-17 11:52:12.972792+02:00,DESWDE000012102,3,,
Ackerstraße Schnelllader,2jqwpp,2023-07-17 11:52:13.524364+02:00,DESWDE019501,2,,
Ackerstraße Schnelllader,2jqwpp,2023-07-17 11:52:13.524364+02:00,DESWDE019502,2,,
Hermannstr.22a,jqmy9n,2023-07-17 11:52:14.082477+02:00,DESWDE023801,2,,
Birkenstraße 47a ,gjje3n,2023-07-17 11:52:14.643055+02:00,DESWDE036901,2,,
Birkenstraße 47a ,gjje3n,2023-07-17 11:52:14.643055+02:00,DESWDE036902,2,,
Platanenstr. 11,5y35yn,2023-07-17 12:09:25.239640+02:00,DESWDE024501,3,,
Platanenstr. 11,5y35yn,2023-07-17 12:09:25.239640+02:00,DESWDE024502,2,,
Platanenstr. 11,5y35yn,2023-07-17 12:09:25.239640+02:00,DESWDE024601,2,,
Platanenstr. 11,5y35yn,2023-07-17 12:09:25.239640+02:00,DESWDE024602,3,,
Lindenstraße 71,z228j8,2023-07-17 12:09:25.820963+02:00,DESWDE037701,2,,
Lindenstraße 71,z228j8,2023-07-17 12:09:25.820963+02:00,DESWDE037702,3,,
Lindenstraße 71,z228j8,2023-07-17 12:09:25.820963+02:00,DESWDE037703,2,,
Lindenstraße 71,z228j8,2023-07-17 12:09:25.820963+02:00,DESWDE037704,2,,
Ackerstraße 131,zn686k,2023-07-17 12:09:27.059319+02:00,DESWDE000012101,3,,
Ackerstraße 131,zn686k,2023-07-17 12:09:27.059319+02:00,DESWDE000012102,3,,
Ackerstraße Schnelllader,2jqwpp,2023-07-17 12:09:27.624229+02:00,DESWDE019501,2,,
Ackerstraße Schnelllader,2jqwpp,2023-07-17 12:09:27.624229+02:00,DESWDE019502,2,,
Hermannstr.22a,jqmy9n,2023-07-17 12:09:28.253885+02:00,DESWDE023801,2,,
Birkenstraße 47a ,gjje3n,2023-07-17 12:09:28.971165+02:00,DESWDE036901,2,,
Birkenstraße 47a ,gjje3n,2023-07-17 12:09:28.971165+02:00,DESWDE036902,2,,
Platanenstr. 11,5y35yn,2023-07-17 12:30:20.520623+02:00,DESWDE024501,2,,
Platanenstr. 11,5y35yn,2023-07-17 12:30:20.520623+02:00,DESWDE024502,2,,
Platanenstr. 11,5y35yn,2023-07-17 12:30:20.520623+02:00,DESWDE024601,2,,
Platanenstr. 11,5y35yn,2023-07-17 12:30:20.520623+02:00,DESWDE024602,3,,
Lindenstraße 71,z228j8,2023-07-17 12:30:21.252450+02:00,DESWDE037701,2,,
Lindenstraße 71,z228j8,2023-07-17 12:30:21.252450+02:00,DESWDE037702,2,,
Lindenstraße 71,z228j8,2023-07-17 12:30:21.252450+02:00,DESWDE037703,2,,
Lindenstraße 71,z228j8,2023-07-17 12:30:21.252450+02:00,DESWDE037704,2,,
Ackerstraße 131,zn686k,2023-07-17 12:30:21.921701+02:00,DESWDE000012101,3,,
Ackerstraße 131,zn686k,2023-07-17 12:30:21.921701+02:00,DESWDE000012102,3,,
Ackerstraße Schnelllader,2jqwpp,2023-07-17 12:30:22.643228+02:00,DESWDE019501,2,,
Ackerstraße Schnelllader,2jqwpp,2023-07-17 12:30:22.643228+02:00,DESWDE019502,2,,
Hermannstr.22a,jqmy9n,2023-07-17 12:30:26.015610+02:00,DESWDE023801,2,,
Birkenstraße 47a ,gjje3n,2023-07-17 12:30:26.697208+02:00,DESWDE036901,2,,
Birkenstraße 47a ,gjje3n,2023-07-17 12:30:26.697208+02:00,DESWDE036902,2,,
Platanenstr. 11,5y35yn,2023-07-17 12:43:01.576648+02:00,DESWDE024501,2,,
Platanenstr. 11,5y35yn,2023-07-17 12:43:01.576648+02:00,DESWDE024502,2,,
Platanenstr. 11,5y35yn,2023-07-17 12:43:01.576648+02:00,DESWDE024601,2,,
Platanenstr. 11,5y35yn,2023-07-17 12:43:01.576648+02:00,DESWDE024602,3,,
Lindenstraße 71,z228j8,2023-07-17 12:43:02.281547+02:00,DESWDE037701,2,,
Lindenstraße 71,z228j8,2023-07-17 12:43:02.281547+02:00,DESWDE037702,2,,
Lindenstraße 71,z228j8,2023-07-17 12:43:02.281547+02:00,DESWDE037703,2,,
Lindenstraße 71,z228j8,2023-07-17 12:43:02.281547+02:00,DESWDE037704,2,,
Ackerstraße 131,zn686k,2023-07-17 12:43:02.926857+02:00,DESWDE000012101,3,,
Ackerstraße 131,zn686k,2023-07-17 12:43:02.926857+02:00,DESWDE000012102,3,,
Ackerstraße Schnelllader,2jqwpp,2023-07-17 12:43:03.584880+02:00,DESWDE019501,2,,
Ackerstraße Schnelllader,2jqwpp,2023-07-17 12:43:03.584880+02:00,DESWDE019502,2,,
Hermannstr.22a,jqmy9n,2023-07-17 12:43:04.200165+02:00,DESWDE023801,2,,
Birkenstraße 47a ,gjje3n,2023-07-17 12:43:04.834733+02:00,DESWDE036901,2,,
Birkenstraße 47a ,gjje3n,2023-07-17 12:43:04.834733+02:00,DESWDE036902,2,,
Platanenstr. 11,5y35yn,2023-07-17 12:52:06.925135+02:00,DESWDE024501,2,,
Platanenstr. 11,5y35yn,2023-07-17 12:52:06.925135+02:00,DESWDE024502,2,,
